umdm,umam,type,base,ext,status,source
umd_678138,umd_678139,audio,scpa-023129-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023129-0001.wav
umd_678140,umd_678141,audio,scpa-023130-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023130-0001.wav
umd_678142,umd_678143,audio,scpa-023131-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023131-0001.wav
umd_678144,umd_678145,audio,scpa-023132-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023132-0001.wav
umd_678146,umd_678147,audio,scpa-023133-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023133-0001.wav
umd_678148,umd_678149,audio,scpa-023134-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023134-0001.wav
umd_678150,umd_678152,audio,scpa-023135-0002,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023135-0002.wav
umd_678150,umd_678151,audio,scpa-023135-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023135-0001.wav
umd_678153,umd_678154,audio,scpa-023136-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023136-0001.wav
umd_678155,umd_678156,audio,scpa-023137-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023137-0001.wav
umd_678157,umd_678158,audio,scpa-023138-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023138-0001.wav
